user_id,movie_id,rating,timestamp,cluster
196,242,3,881250949,61
186,302,3,891717742,73
22,377,1,878887116,95
244,51,2,880606923,80
298,474,4,884182806,13
115,265,2,881171488,5
253,465,5,891628467,84
305,451,3,886324817,71
6,86,3,883603013,37
62,257,2,879372434,10
286,1014,5,879781125,7
200,222,5,876042340,11
224,29,3,888104457,67
303,785,3,879485318,42
122,387,5,879270459,46
194,274,2,879539794,23
291,1042,4,874834944,78
234,1184,2,892079237,97
119,392,4,886176814,12
167,486,4,892738452,63
299,144,4,877881320,64
291,118,2,874833878,16
308,1,4,887736532,9
95,546,2,879196566,35
38,95,5,892430094,1
102,768,2,883748450,54
63,277,4,875747401,23
160,234,5,876861185,61
50,246,3,877052329,57
301,98,4,882075827,1
225,193,4,879539727,58
97,194,3,884238860,58
157,274,4,886890835,23
181,1081,1,878962623,78
278,603,5,891295330,26
276,796,1,874791932,42
10,16,4,877888877,9
284,304,4,885329322,73
201,979,2,884114233,33
276,564,3,874791805,74
287,327,5,875333916,50
242,1137,5,879741196,79
249,241,5,879641194,61
99,4,5,886519097,9
81,432,2,876535131,14
260,322,4,890618898,99
25,181,5,885853415,17
59,196,5,888205088,58
87,384,4,879877127,46
42,423,5,881107687,45
292,515,4,881103977,41
115,20,3,881171009,67
201,219,4,884112673,68
138,26,5,879024232,67
167,232,1,892738341,53
223,274,4,891550094,23
189,512,4,893277702,41
243,15,3,879987440,9
92,1049,1,890251826,78
194,165,4,879546723,6
241,690,2,887249482,8
254,1444,3,886475558,85
293,5,3,888906576,9
127,229,5,884364867,53
225,237,5,879539643,61
299,229,3,878192429,53
225,480,5,879540748,75
276,54,3,874791025,80
291,144,5,874835091,64
42,403,3,881108684,4
11,111,4,891903862,16
95,625,4,888954412,30
8,338,4,879361873,91
87,1016,4,879876194,7
279,154,5,875296291,93
145,275,2,885557505,23
119,1153,5,874781198,97
62,498,4,879373848,62
62,382,3,879375537,95
28,209,4,881961214,86
135,23,4,879857765,67
90,382,5,891383835,95
286,208,4,877531942,86
293,685,3,888905170,60
271,132,5,885848672,19
160,174,5,876860807,6
265,118,4,875320714,16
198,498,3,884207492,62
42,96,5,881107178,1
168,151,5,884288058,93
110,307,4,886987260,34
58,144,4,884304936,64
90,648,4,891384754,82
271,346,4,885844430,70
62,21,3,879373460,67
279,832,3,881375854,69
237,514,4,879376641,41
298,317,4,884182806,96
264,200,5,886122352,24
194,385,2,879524643,46
224,245,3,888082216,57
82,135,3,878769629,19
262,1147,4,879791710,79
293,471,3,888904884,81
59,23,5,888205300,67
286,379,5,877533771,95
244,815,4,880605185,66
174,368,1,886434402,18
87,274,4,879876734,23
194,1211,2,879551380,29
82,1134,2,884714402,79
244,756,2,880605157,54
305,427,5,886323090,40
95,787,2,888954930,42
43,14,2,883955745,9
299,955,4,889502823,43
84,405,3,883452363,88
269,504,4,891449922,25
299,111,3,877878184,16
194,466,4,879525876,84
160,135,4,876860807,19
99,268,3,885678247,5
10,486,4,877886846,63
259,117,4,874724988,16
85,427,3,879456350,40
303,919,4,879467295,44
121,514,3,891387947,41
90,98,5,891383204,1
49,559,2,888067405,15
42,794,3,881108425,42
155,323,2,879371261,99
172,177,4,875537965,17
268,231,4,875744136,53
5,2,3,875636053,9
305,117,2,886324028,16
43,137,4,875975656,64
279,1336,1,875298353,94
80,466,5,887401701,84
254,164,4,886472768,6
298,281,3,884183336,65
279,1240,1,892174404,29
66,298,4,883601324,73
268,1035,2,875542174,7
99,79,4,885680138,37
26,258,3,891347949,10
200,673,5,884128554,60
119,328,4,876923913,50
276,322,3,874786392,99
130,379,4,875801662,95
38,328,4,892428688,50
160,719,3,876857977,21
293,1267,3,888906966,94
26,930,2,891385985,43
130,216,4,875216545,68
92,1079,3,886443455,78
256,452,4,882164999,71
1,61,4,878542420,27
56,755,3,892910207,47
15,405,2,879455957,88
92,77,3,875654637,37
207,476,2,884386343,13
292,174,5,881105481,6
232,483,5,888549622,75
224,26,3,888104153,67
181,220,4,878962392,11
259,255,4,874724710,10
305,471,4,886323648,81
52,280,3,882922806,65
148,408,5,877399018,88
125,235,2,892838559,61
97,228,5,884238860,53
58,1098,4,884304936,79
90,347,4,891383319,70
272,178,5,879455113,17
194,181,3,879521396,17
125,478,4,879454628,13
110,688,1,886987605,8
299,14,4,877877775,9
269,127,4,891446165,19
6,14,5,883599249,9
54,106,3,880937882,1
303,69,5,879467542,27
16,944,1,877727122,43
301,790,4,882078621,42
276,1091,3,874793035,78
305,214,2,886323068,68
194,1028,2,879541148,7
91,323,2,891438397,99
87,554,4,879875940,83
294,109,4,877819599,16
286,171,4,877531791,6
200,318,5,884128458,96
229,328,1,891632142,50
303,842,2,879484804,72
62,65,4,879374686,27
207,591,3,876018608,59
92,172,4,875653271,6
301,401,4,882078040,4
36,339,5,882157581,91
70,746,3,884150257,47
63,242,3,875747190,61
28,201,3,881961671,24
279,68,4,875307407,27
14,98,3,890881335,1
299,1018,3,889502324,7
194,54,3,879525876,80
303,815,3,879485532,66
119,237,5,874775038,61
295,218,5,879966498,68
268,930,2,875742942,43
268,2,2,875744173,9
66,258,4,883601089,10
233,202,5,879394264,24
192,476,2,881368243,13
100,344,4,891374868,70
268,145,1,875744501,64
301,56,4,882076587,80
307,89,5,879283786,37
234,141,3,892334609,64
181,264,2,878961624,5
38,153,5,892430369,93
264,813,4,886122952,66
181,872,1,878961814,22
201,146,1,884140579,64
85,507,4,879456199,20
269,367,3,891450023,18
59,468,3,888205855,81
286,143,4,889651549,64
193,96,1,889124507,1
113,595,5,875936424,87
292,11,5,881104093,9
130,1014,3,876250718,7
275,98,4,875155140,1
189,520,5,893265380,39
219,82,1,889452455,37
218,209,5,877488546,86
123,427,3,879873020,40
119,222,5,874775311,11
158,177,4,880134407,17
302,322,2,879436875,99
279,501,3,875308843,25
301,79,5,882076403,37
181,3,2,878963441,9
201,695,1,884140115,8
1,189,3,888732928,58
145,237,5,875270570,61
23,385,4,874786462,46
201,767,4,884114505,54
42,546,3,881105817,35
33,872,3,891964230,22
301,554,3,882078830,83
16,64,5,877720297,27
95,135,3,879197562,19
77,484,5,884733766,75
302,303,2,879436785,73
244,673,3,880606667,60
16,705,5,877722736,21
145,15,2,875270655,9
187,64,5,879465631,27
200,304,5,876041644,73
101,829,3,877136138,69
184,218,3,889909840,68
181,1295,1,878961781,94
184,153,3,889911285,93
1,33,4,878542699,67
1,160,4,875072547,93
184,321,5,889906967,99
54,595,3,880937813,87
23,323,2,874784266,99
301,227,3,882077222,53
301,191,3,882075672,58
112,903,1,892440172,44
82,183,3,878769848,17
218,430,3,877488316,14
308,1197,4,887739521,97
303,134,5,879467959,19
133,751,3,890588547,47
215,212,2,891435680,86
69,256,5,882126156,10
254,662,4,887347350,90
276,2,4,874792436,9
104,984,1,888442575,33
63,1067,3,875747514,78
240,879,3,885775745,22
286,237,2,875806800,61
294,271,5,889241426,5
90,1086,4,891384424,78
92,229,3,875656201,53
308,649,4,887739292,82
144,89,3,888105691,37
191,302,4,891560253,73
59,951,3,888206409,43
200,96,5,884129409,1
16,197,5,877726146,24
61,678,3,892302309,60
271,199,4,885848448,24
271,709,3,885849325,21
142,169,5,888640356,6
275,597,3,876197678,87
87,40,3,879876917,80
207,258,4,877879172,10
272,1393,2,879454663,85
177,333,4,880130397,77
207,1115,2,879664906,79
299,577,3,889503806,28
271,378,4,885849447,95
305,425,4,886324486,45
49,959,2,888068912,33
130,1017,3,874953895,7
10,175,3,877888677,6
203,321,3,880433418,99
191,286,4,891560842,52
43,323,3,875975110,99
21,558,5,874951695,15
194,66,3,879527264,27
234,206,4,892334543,86
308,402,4,887740700,4
308,640,4,887737036,92
269,522,5,891447773,39
268,62,3,875310824,27
272,12,5,879455254,9
121,291,3,891390477,76
134,286,3,891732334,52
234,612,3,892079140,38
104,117,2,888465972,16
38,758,1,892434626,54
269,845,1,891456255,72
234,1451,3,892078343,85
275,405,2,876197645,88
52,250,3,882922661,57
102,823,3,888801465,69
236,71,3,890116671,27
256,781,5,882165296,42
244,186,3,880605697,17
279,1181,4,875314001,97
43,815,4,883956189,66
254,436,2,886474216,3
109,631,3,880579371,30
249,188,4,879641067,58
144,699,4,888106106,8
301,604,4,882075994,26
64,392,3,889737542,12
92,501,2,875653665,25
268,436,3,875310745,3
293,135,5,888905550,19
160,460,2,876861185,84
59,715,5,888205921,21
5,17,4,875636198,67
125,163,5,879454956,93
174,315,5,886432749,96
114,505,3,881260203,25
23,196,2,874786926,58
239,56,4,889179478,80
181,279,1,878962955,65
291,80,4,875086354,37
201,649,3,884114275,82
181,325,2,878961814,50
119,407,3,887038665,88
287,1,5,875334088,9
203,471,4,880434463,81
92,587,3,875660408,59
286,288,5,875806672,76
99,111,1,885678886,16
11,558,3,891904214,15
65,47,2,879216672,80
295,194,4,879517412,58
269,217,2,891451610,68
85,259,2,881705026,10
137,144,5,881433689,64
201,960,2,884112077,33
257,137,4,882049932,64
111,328,4,891679939,50
91,480,4,891438875,75
215,211,4,891436202,86
181,938,1,878961586,43
189,1060,5,893264301,78
1,20,4,887431883,67
303,404,4,879468375,88
299,305,3,879737314,73
187,210,4,879465242,86
293,770,3,888906655,54
285,191,4,890595859,58
303,252,3,879544791,57
96,156,4,884402860,93
115,1067,4,881171009,78
116,350,3,886977926,70
73,480,4,888625753,75
269,246,5,891457067,57
70,431,3,884150257,14
25,357,4,885852757,36
189,526,4,893266205,32
299,303,3,877618584,73
264,294,3,886121516,51
200,365,5,884129962,18
187,135,4,879465653,19
184,187,4,889909024,58
63,289,2,875746985,76
298,486,3,884183063,63
235,185,4,889655435,17
62,712,4,879376178,21
54,742,5,880934806,47
63,762,3,875747688,54
11,732,3,891904596,89
92,168,4,875653723,6
8,550,3,879362356,83
307,174,4,879283480,6
303,200,4,879468459,24
256,849,2,882164603,72
164,406,2,889402389,88
224,77,4,888103872,37
193,869,3,889127811,22
281,338,2,881200457,91
130,109,3,874953794,16
182,845,3,885613067,72
129,873,1,883245452,22
254,229,4,886474580,53
64,381,4,879365491,95
45,25,4,881014015,67
193,879,3,889123257,22
276,922,4,889174849,43
276,57,3,874787526,80
234,187,4,892079140,58
181,306,1,878962006,73
21,370,1,874951293,2
293,249,3,888905229,57
264,721,5,886123656,21
10,611,5,877886722,38
276,142,3,874792945,64
308,427,4,887736584,40
131,126,4,883681514,19
268,824,2,876518557,69
109,8,3,880572642,9
198,58,3,884208173,80
230,680,4,880484286,60
181,741,1,878962918,47
192,1061,4,881368891,78
234,448,3,892335501,71
90,900,4,891382309,44
193,941,4,889124890,43
126,905,2,887855283,44
244,265,4,880606634,5
90,289,3,891382310,76
157,25,3,886890787,67
305,71,3,886323684,27
119,382,5,874781742,95
21,222,2,874951382,11
231,181,4,888605273,17
280,508,3,891700453,20
288,132,3,886374129,19
279,1497,2,890780576,85
301,33,4,882078228,67
90,259,2,891382392,10
308,55,3,887738760,80
59,742,3,888203053,47
130,642,4,875216933,92
26,1015,3,891352136,7
56,121,5,892679480,16
82,508,2,884714249,20
62,12,4,879373613,9
276,40,3,874791871,80
181,1015,1,878963121,7
152,301,3,880147407,73
217,597,4,889070087,87
138,484,4,879024127,75
308,81,5,887737293,37
75,284,2,884050393,52
269,198,4,891447062,24
307,94,3,877122695,1
121,740,3,891390544,89
269,22,1,891448072,67
230,742,5,880485043,47
269,507,4,891448800,20
239,1099,5,889179253,79
56,546,3,892679460,35
295,961,5,879519556,33
271,1028,2,885848102,7
69,240,3,882126156,61
10,7,4,877892210,9
22,376,3,878887112,95
294,931,3,889242857,43
82,717,1,884714492,21
279,399,4,875313859,4
269,234,1,891449406,61
6,98,5,883600680,1
243,1039,4,879988184,7
298,181,4,884125629,17
78,323,1,879633567,99
118,200,5,875384647,24
283,1114,5,879297545,79
70,217,4,884151119,68
10,100,5,877891747,1
107,333,3,891264267,77
276,70,4,874790826,27
244,17,2,880607205,67
189,56,5,893265263,80
226,242,5,883888671,61
62,1016,4,879373008,7
276,417,4,874792907,31
306,235,4,876504354,61
280,631,5,891700751,30
56,71,4,892683275,27
42,274,5,881105817,23
1,202,5,875072442,24
15,749,1,879455311,47
185,23,4,883524249,67
280,540,3,891702304,48
244,381,4,880604077,95
95,1217,3,880572658,29
234,1462,3,892333865,85
97,222,5,884238887,11
109,127,2,880563471,19
269,705,2,891448850,21
130,1246,3,876252497,29
264,655,4,886123530,82
207,13,3,875506839,9
42,588,5,881108147,59
87,367,4,879876702,18
101,304,3,877135677,73
256,127,4,882164406,19
92,794,3,875654798,42
181,762,2,878963418,54
92,739,2,876175582,89
292,661,5,881105561,90
274,845,5,878945579,72
188,692,5,875072583,8
5,439,1,878844423,3
236,632,3,890116254,30
193,407,4,889127921,88
144,709,4,888105940,21
90,1198,5,891383866,97
48,609,4,879434819,26
5,225,2,875635723,11
22,128,5,878887983,19
311,432,4,884365485,14
8,22,5,879362183,67
276,188,4,874792547,58
299,134,4,878192311,19
1,171,5,889751711,6
308,295,3,887741461,51
165,216,4,879525778,68
181,121,4,878962623,16
200,11,5,884129542,9
234,626,4,892336358,30
244,707,4,880606243,21
90,25,5,891384789,67
208,216,5,883108324,68
134,323,4,891732335,99
279,586,4,892864663,59
288,593,2,886892127,87
49,302,4,888065432,73
286,153,5,877531406,93
205,304,3,888284313,73
22,80,4,878887227,37
234,318,4,892078890,96
223,328,3,891548959,50
15,25,3,879456204,67
268,147,4,876514002,64
274,405,4,878945840,88
268,217,2,875744501,68
16,55,5,877717956,80
164,620,3,889402298,38
92,515,4,875640800,41
239,1070,5,889179032,78
56,449,5,892679308,71
248,234,4,884534968,61
234,10,3,891227851,9
280,1049,2,891702486,78
308,187,5,887738760,58
276,64,5,874787441,27
192,948,3,881368302,43
122,509,4,879270511,20
85,588,3,880838306,59
262,931,2,879790874,43
201,272,3,886013700,23
181,870,2,878962623,22
295,739,4,879518319,89
295,39,4,879518279,80
201,1100,4,884112800,79
93,820,3,888705966,69
159,1028,5,880557539,7
158,665,2,880134532,90
293,423,3,888906070,45
82,597,3,878768882,87
276,181,5,874786488,17
217,2,3,889069782,9
189,20,5,893264466,67
146,1022,5,891458193,7
126,294,3,887855087,51
181,1060,1,878962675,78
125,80,4,892838865,37
43,120,4,884029430,16
253,259,2,891628883,10
42,44,3,881108548,80
77,518,4,884753202,39
291,686,5,874835165,8
268,21,3,875742822,67
262,28,3,879792220,67
234,81,3,892334680,37
236,57,5,890116575,80
158,729,3,880133116,89
156,661,4,888185947,90
232,52,5,888550130,80
168,866,5,884287927,22
37,288,4,880915258,76
141,245,3,884584426,57
235,230,4,889655162,53
102,70,3,888803537,27
77,172,3,884752562,6
90,506,5,891383319,20
186,566,5,879023663,74
118,774,5,875385198,54
49,1003,2,888068651,7
62,68,1,879374969,27
42,1028,4,881106072,7
85,51,2,879454782,80
77,474,5,884732407,13
58,1099,2,892243079,79
56,1047,4,892911290,78
286,99,4,878141681,1
90,258,3,891382121,10
181,1288,1,878962349,94
295,190,4,879517062,58
224,69,4,888082495,27
272,317,4,879454977,96
66,877,1,883601089,22
207,318,5,877124871,96
234,487,3,892079237,63
87,82,5,879875774,37
195,1052,1,877835102,78
306,287,4,876504442,52
194,172,3,879521474,6
167,659,4,892738277,90
108,100,4,879879720,1
230,304,5,880484286,73
181,927,1,878962675,43
54,302,4,880928519,73
90,22,4,891384357,67
181,696,2,878962997,8
286,357,4,877531537,36
14,269,4,892242403,5
311,179,2,884365357,17
92,121,5,875640679,16
21,440,1,874951798,56
244,550,1,880602264,83
181,405,4,878962919,88
65,806,4,879216529,66
37,540,2,880916070,48
244,183,4,880606043,17
1,265,4,878542441,5
299,387,2,889502756,46
286,746,4,877533058,47
239,272,5,889181247,23
254,121,3,886472369,16
62,665,2,879376483,90
194,23,4,879522819,67
268,955,3,875745160,43
188,143,5,875072674,64
276,294,4,874786366,51
158,1098,4,880135069,79
207,845,3,881681663,72
305,654,4,886323937,82
47,324,3,879439078,99
64,736,4,889739212,89
191,751,3,891560753,47
59,92,5,888204997,1
69,268,5,882027109,5
10,461,3,877888944,84
21,129,4,874951382,19
58,9,4,884304328,9
194,152,3,879549996,93
