user_id,movie_id,rating,timestamp,cluster
196,242,3,881250949,87
186,302,3,891717742,87
22,377,1,878887116,1
244,51,2,880606923,91
166,346,1,886397596,1
298,474,4,884182806,3
115,265,2,881171488,91
253,465,5,891628467,10
305,451,3,886324817,87
6,86,3,883603013,87
286,1014,5,879781125,10
200,222,5,876042340,10
210,40,3,891035994,87
303,785,3,879485318,87
122,387,5,879270459,10
194,274,2,879539794,91
291,1042,4,874834944,3
234,1184,2,892079237,91
167,486,4,892738452,3
299,144,4,877881320,3
291,118,2,874833878,91
308,1,4,887736532,3
95,546,2,879196566,91
38,95,5,892430094,10
102,768,2,883748450,91
63,277,4,875747401,3
50,246,3,877052329,87
301,98,4,882075827,3
225,193,4,879539727,3
290,88,4,880731963,3
97,194,3,884238860,87
157,274,4,886890835,3
181,1081,1,878962623,1
278,603,5,891295330,10
276,796,1,874791932,1
7,32,4,891350932,3
10,16,4,877888877,3
284,304,4,885329322,3
201,979,2,884114233,91
276,564,3,874791805,87
246,201,5,884921594,10
249,241,5,879641194,10
99,4,5,886519097,10
178,332,3,882823437,87
251,100,4,886271884,3
81,432,2,876535131,91
260,322,4,890618898,3
25,181,5,885853415,10
59,196,5,888205088,10
72,679,2,880037164,91
290,143,5,880474293,10
42,423,5,881107687,10
292,515,4,881103977,3
115,20,3,881171009,87
20,288,1,879667584,1
201,219,4,884112673,3
13,526,3,882141053,87
246,919,4,884920949,3
167,232,1,892738341,1
223,274,4,891550094,3
189,512,4,893277702,3
243,15,3,879987440,87
246,416,3,884923047,87
194,165,4,879546723,3
178,248,4,882823954,3
254,1444,3,886475558,87
293,5,3,888906576,87
127,229,5,884364867,10
225,237,5,879539643,10
299,229,3,878192429,87
225,480,5,879540748,10
276,54,3,874791025,87
291,144,5,874835091,10
222,366,4,878183381,3
267,518,5,878971773,10
42,403,3,881108684,87
95,625,4,888954412,3
162,25,4,877635573,3
279,154,5,875296291,10
28,209,4,881961214,3
135,23,4,879857765,3
32,294,3,883709863,87
90,382,5,891383835,10
286,208,4,877531942,3
293,685,3,888905170,87
166,328,5,886397722,10
250,496,4,878090499,3
265,118,4,875320714,3
42,96,5,881107178,10
110,307,4,886987260,3
58,144,4,884304936,3
90,648,4,891384754,3
279,832,3,881375854,87
237,514,4,879376641,3
94,789,4,891720887,3
128,485,3,879966895,87
298,317,4,884182806,3
44,195,5,878347874,10
264,200,5,886122352,10
194,385,2,879524643,91
72,195,5,880037702,10
222,750,5,883815120,10
250,264,3,878089182,87
41,265,3,890687042,87
82,135,3,878769629,87
293,471,3,888904884,87
250,140,3,878092059,87
59,23,5,888205300,10
286,379,5,877533771,10
244,815,4,880605185,3
7,479,4,891352010,3
174,368,1,886434402,1
194,1211,2,879551380,91
82,1134,2,884714402,91
13,836,2,882139746,91
13,272,4,884538403,3
244,756,2,880605157,91
305,427,5,886323090,10
95,787,2,888954930,91
43,14,2,883955745,91
299,955,4,889502823,3
269,504,4,891449922,3
299,111,3,877878184,87
194,466,4,879525876,3
99,268,3,885678247,87
10,486,4,877886846,3
259,117,4,874724988,3
85,427,3,879456350,87
303,919,4,879467295,3
90,98,5,891383204,10
49,559,2,888067405,91
42,794,3,881108425,87
172,177,4,875537965,3
19,4,4,885412840,3
268,231,4,875744136,3
5,2,3,875636053,87
305,117,2,886324028,91
44,294,4,883612356,3
43,137,4,875975656,3
279,1336,1,875298353,1
80,466,5,887401701,10
254,164,4,886472768,3
298,281,3,884183336,87
279,1240,1,892174404,1
66,298,4,883601324,3
18,443,3,880130193,87
268,1035,2,875542174,91
99,79,4,885680138,3
13,98,4,881515011,3
26,258,3,891347949,87
7,455,4,891353086,3
222,755,4,878183481,3
200,673,5,884128554,10
276,322,3,874786392,87
94,1217,3,891723086,87
130,379,4,875801662,3
38,328,4,892428688,3
293,1267,3,888906966,87
26,930,2,891385985,91
130,216,4,875216545,3
1,61,4,878542420,3
72,48,4,880036718,3
13,360,4,882140926,3
15,405,2,879455957,91
292,174,5,881105481,10
232,483,5,888549622,10
251,748,2,886272175,91
181,220,4,878962392,3
259,255,4,874724710,3
305,471,4,886323648,3
52,280,3,882922806,87
148,408,5,877399018,10
125,235,2,892838559,91
97,228,5,884238860,10
58,1098,4,884304936,3
83,234,4,887665548,3
90,347,4,891383319,3
272,178,5,879455113,10
194,181,3,879521396,87
125,478,4,879454628,3
110,688,1,886987605,1
299,14,4,877877775,3
151,10,5,879524921,10
269,127,4,891446165,3
6,14,5,883599249,10
54,106,3,880937882,87
303,69,5,879467542,10
16,944,1,877727122,1
301,790,4,882078621,3
276,1091,3,874793035,87
305,214,2,886323068,91
194,1028,2,879541148,91
91,323,2,891438397,91
294,109,4,877819599,3
286,171,4,877531791,3
200,318,5,884128458,10
229,328,1,891632142,1
178,568,4,882826555,3
303,842,2,879484804,91
301,401,4,882078040,3
36,339,5,882157581,10
70,746,3,884150257,87
63,242,3,875747190,87
28,201,3,881961671,87
279,68,4,875307407,3
250,7,4,878089716,3
14,98,3,890881335,87
299,1018,3,889502324,87
194,54,3,879525876,87
303,815,3,879485532,87
268,930,2,875742942,91
268,2,2,875744173,91
66,258,4,883601089,3
233,202,5,879394264,10
83,623,4,880308578,3
214,334,3,891542540,87
192,476,2,881368243,91
268,145,1,875744501,1
301,56,4,882076587,3
307,89,5,879283786,10
234,141,3,892334609,87
83,576,4,880308755,3
181,264,2,878961624,91
38,153,5,892430369,10
7,382,4,891352093,3
264,813,4,886122952,3
181,872,1,878961814,1
201,146,1,884140579,1
85,507,4,879456199,3
269,367,3,891450023,87
59,468,3,888205855,87
286,143,4,889651549,3
193,96,1,889124507,1
113,595,5,875936424,10
292,11,5,881104093,10
130,1014,3,876250718,87
275,98,4,875155140,3
189,520,5,893265380,10
219,82,1,889452455,1
123,427,3,879873020,87
158,177,4,880134407,3
222,118,4,877563802,3
